"ID";"nome";"da";"a";"dim.massima";"riallocazioni";"prima linea";"ultima linea"
"31";"'tmp3_d'";"triangola.c # 23";"triangola.c # 141";"1";"0";"distrib.c # 17";"triangola.c # 44"
"32";"'scalare_d'";"scoremodular.c # 29";"scoremodular.c # 152";"1";"0";" # 0";" # 0"
"46";"'tmp_d1'";"scoremodular.c # 124";"scoremodular.c # 155";"5";"0";"scoremodular.c # 124";"scoremodular.c # 128"
"33";"'T1'";"scoremodular.c # 35";"scoremodular.c # 156";"5";"0";"scoremodular.c # 35";"scoremodular.c # 64"
"34";"'T2'";"scoremodular.c # 38";"scoremodular.c # 157";"5";"0";"scoremodular.c # 38";"scoremodular.c # 143"
"35";"'old1'";"scoremodular.c # 41";"scoremodular.c # 158";"5";"0";"scoremodular.c # 41";"scoremodular.c # 58"
"36";"'old2'";"scoremodular.c # 44";"scoremodular.c # 159";"5";"0";"scoremodular.c # 44";"scoremodular.c # 102"
"37";"'new1'";"scoremodular.c # 46";"scoremodular.c # 160";"5";"0";"scoremodular.c # 46";"scoremodular.c # 61"
"38";"'new2'";"scoremodular.c # 48";"scoremodular.c # 161";"5";"0";"scoremodular.c # 48";"scoremodular.c # 105"
"39";"'toll1'";"scoremodular.c # 52";"scoremodular.c # 162";"5";"0";"scoremodular.c # 52";"scoremodular.c # 52"
"40";"'toll2'";"scoremodular.c # 56";"scoremodular.c # 163";"5";"0";"scoremodular.c # 56";"scoremodular.c # 127"
"41";"'a'";"scoremodular.c # 58";"scoremodular.c # 164";"5";"0";"scoremodular.c # 58";"scoremodular.c # 124"
"42";"'b'";"scoremodular.c # 61";"scoremodular.c # 165";"5";"0";"scoremodular.c # 61";"scoremodular.c # 127"
"44";"'m'";"scoremodular.c # 109";"scoremodular.c # 167";"5";"0";"scoremodular.c # 109";"scoremodular.c # 122"
"43";"'S1'";"scoremodular.c # 98";"scoremodular.c # 168";"5";"0";"scoremodular.c # 99";"scoremodular.c # 147"
"45";"'S2'";"scoremodular.c # 122";"scoremodular.c # 169";"5";"0";"scoremodular.c # 122";"scoremodular.c # 147"
"34";"'scalare_d'";"scoremodular.c # 29";"scoremodular.c # 152";"1";"0";" # 0";" # 0"
"35";"'T1'";"scoremodular.c # 35";"scoremodular.c # 156";"5";"0";"scoremodular.c # 35";"scoremodular.c # 64"
"36";"'T2'";"scoremodular.c # 38";"scoremodular.c # 157";"5";"0";"scoremodular.c # 38";"scoremodular.c # 143"
"37";"'old1'";"scoremodular.c # 41";"scoremodular.c # 158";"5";"0";"scoremodular.c # 41";"scoremodular.c # 58"
"38";"'old2'";"scoremodular.c # 44";"scoremodular.c # 159";"5";"0";"scoremodular.c # 44";"scoremodular.c # 102"
"39";"'new1'";"scoremodular.c # 46";"scoremodular.c # 160";"5";"0";"scoremodular.c # 46";"scoremodular.c # 61"
"40";"'new2'";"scoremodular.c # 48";"scoremodular.c # 161";"5";"0";"scoremodular.c # 48";"scoremodular.c # 105"
"41";"'toll1'";"scoremodular.c # 52";"scoremodular.c # 162";"5";"0";"scoremodular.c # 52";"scoremodular.c # 52"
"42";"'toll2'";"scoremodular.c # 56";"scoremodular.c # 163";"5";"0";"scoremodular.c # 56";"scoremodular.c # 56"
"43";"'a'";"scoremodular.c # 58";"scoremodular.c # 164";"5";"0";"scoremodular.c # 58";"scoremodular.c # 108"
"44";"'b'";"scoremodular.c # 61";"scoremodular.c # 165";"5";"0";"scoremodular.c # 61";"scoremodular.c # 108"
"46";"'m'";"scoremodular.c # 109";"scoremodular.c # 167";"5";"0";"scoremodular.c # 109";"scoremodular.c # 109"
"45";"'S1'";"scoremodular.c # 98";"scoremodular.c # 168";"5";"0";"scoremodular.c # 99";"scoremodular.c # 147"
"47";"'S2'";"scoremodular.c # 139";"scoremodular.c # 169";"5";"0";"scoremodular.c # 140";"scoremodular.c # 147"
"35";"'scalare_d'";"scoremodular.c # 29";"scoremodular.c # 152";"1";"0";" # 0";" # 0"
"49";"'tmp_d1'";"scoremodular.c # 124";"scoremodular.c # 155";"5";"0";"scoremodular.c # 124";"scoremodular.c # 128"
"36";"'T1'";"scoremodular.c # 35";"scoremodular.c # 156";"5";"0";"scoremodular.c # 35";"scoremodular.c # 64"
"37";"'T2'";"scoremodular.c # 38";"scoremodular.c # 157";"5";"0";"scoremodular.c # 38";"scoremodular.c # 143"
"38";"'old1'";"scoremodular.c # 41";"scoremodular.c # 158";"5";"0";"scoremodular.c # 41";"scoremodular.c # 58"
"39";"'old2'";"scoremodular.c # 44";"scoremodular.c # 159";"5";"0";"scoremodular.c # 44";"scoremodular.c # 102"
"40";"'new1'";"scoremodular.c # 46";"scoremodular.c # 160";"5";"0";"scoremodular.c # 46";"scoremodular.c # 61"
"41";"'new2'";"scoremodular.c # 48";"scoremodular.c # 161";"5";"0";"scoremodular.c # 48";"scoremodular.c # 105"
"42";"'toll1'";"scoremodular.c # 52";"scoremodular.c # 162";"5";"0";"scoremodular.c # 52";"scoremodular.c # 52"
"43";"'toll2'";"scoremodular.c # 56";"scoremodular.c # 163";"5";"0";"scoremodular.c # 56";"scoremodular.c # 127"
"44";"'a'";"scoremodular.c # 58";"scoremodular.c # 164";"5";"0";"scoremodular.c # 58";"scoremodular.c # 124"
"45";"'b'";"scoremodular.c # 61";"scoremodular.c # 165";"5";"0";"scoremodular.c # 61";"scoremodular.c # 127"
"47";"'m'";"scoremodular.c # 109";"scoremodular.c # 167";"5";"0";"scoremodular.c # 109";"scoremodular.c # 122"
"46";"'S1'";"scoremodular.c # 98";"scoremodular.c # 168";"5";"0";"scoremodular.c # 99";"scoremodular.c # 147"
"48";"'S2'";"scoremodular.c # 122";"scoremodular.c # 169";"5";"0";"scoremodular.c # 122";"scoremodular.c # 147"
"35";"'scalare_d'";"scoremodular.c # 29";"scoremodular.c # 152";"1";"0";" # 0";" # 0"
"36";"'T1'";"scoremodular.c # 35";"scoremodular.c # 156";"5";"0";"scoremodular.c # 35";"scoremodular.c # 64"
"37";"'T2'";"scoremodular.c # 38";"scoremodular.c # 157";"5";"0";"scoremodular.c # 38";"scoremodular.c # 143"
"38";"'old1'";"scoremodular.c # 41";"scoremodular.c # 158";"5";"0";"scoremodular.c # 41";"scoremodular.c # 58"
"39";"'old2'";"scoremodular.c # 44";"scoremodular.c # 159";"5";"0";"scoremodular.c # 44";"scoremodular.c # 102"
"40";"'new1'";"scoremodular.c # 46";"scoremodular.c # 160";"5";"0";"scoremodular.c # 46";"scoremodular.c # 61"
"41";"'new2'";"scoremodular.c # 48";"scoremodular.c # 161";"5";"0";"scoremodular.c # 48";"scoremodular.c # 105"
"42";"'toll1'";"scoremodular.c # 52";"scoremodular.c # 162";"5";"0";"scoremodular.c # 52";"scoremodular.c # 52"
"43";"'toll2'";"scoremodular.c # 56";"scoremodular.c # 163";"5";"0";"scoremodular.c # 56";"scoremodular.c # 56"
"44";"'a'";"scoremodular.c # 58";"scoremodular.c # 164";"5";"0";"scoremodular.c # 58";"scoremodular.c # 108"
"45";"'b'";"scoremodular.c # 61";"scoremodular.c # 165";"5";"0";"scoremodular.c # 61";"scoremodular.c # 108"
"47";"'m'";"scoremodular.c # 109";"scoremodular.c # 167";"5";"0";"scoremodular.c # 109";"scoremodular.c # 109"
"46";"'S1'";"scoremodular.c # 98";"scoremodular.c # 168";"5";"0";"scoremodular.c # 99";"scoremodular.c # 147"
"48";"'S2'";"scoremodular.c # 139";"scoremodular.c # 169";"5";"0";"scoremodular.c # 140";"scoremodular.c # 147"
"35";"'scalare_d'";"scoremodular.c # 29";"scoremodular.c # 152";"1";"0";" # 0";" # 0"
"49";"'tmp_d1'";"scoremodular.c # 124";"scoremodular.c # 155";"5";"0";"scoremodular.c # 124";"scoremodular.c # 128"
"36";"'T1'";"scoremodular.c # 35";"scoremodular.c # 156";"5";"0";"scoremodular.c # 35";"scoremodular.c # 64"
"37";"'T2'";"scoremodular.c # 38";"scoremodular.c # 157";"5";"0";"scoremodular.c # 38";"scoremodular.c # 143"
"38";"'old1'";"scoremodular.c # 41";"scoremodular.c # 158";"5";"0";"scoremodular.c # 41";"scoremodular.c # 58"
"39";"'old2'";"scoremodular.c # 44";"scoremodular.c # 159";"5";"0";"scoremodular.c # 44";"scoremodular.c # 102"
"40";"'new1'";"scoremodular.c # 46";"scoremodular.c # 160";"5";"0";"scoremodular.c # 46";"scoremodular.c # 61"
"41";"'new2'";"scoremodular.c # 48";"scoremodular.c # 161";"5";"0";"scoremodular.c # 48";"scoremodular.c # 105"
"42";"'toll1'";"scoremodular.c # 52";"scoremodular.c # 162";"5";"0";"scoremodular.c # 52";"scoremodular.c # 52"
"43";"'toll2'";"scoremodular.c # 56";"scoremodular.c # 163";"5";"0";"scoremodular.c # 56";"scoremodular.c # 127"
"44";"'a'";"scoremodular.c # 58";"scoremodular.c # 164";"5";"0";"scoremodular.c # 58";"scoremodular.c # 124"
"45";"'b'";"scoremodular.c # 61";"scoremodular.c # 165";"5";"0";"scoremodular.c # 61";"scoremodular.c # 127"
"47";"'m'";"scoremodular.c # 109";"scoremodular.c # 167";"5";"0";"scoremodular.c # 109";"scoremodular.c # 122"
"46";"'S1'";"scoremodular.c # 98";"scoremodular.c # 168";"5";"0";"scoremodular.c # 99";"scoremodular.c # 147"
"48";"'S2'";"scoremodular.c # 122";"scoremodular.c # 169";"5";"0";"scoremodular.c # 122";"scoremodular.c # 147"
"35";"'scalare_d'";"scoremodular.c # 29";"scoremodular.c # 152";"1";"0";" # 0";" # 0"
"36";"'T1'";"scoremodular.c # 35";"scoremodular.c # 156";"5";"0";"scoremodular.c # 35";"scoremodular.c # 64"
"37";"'T2'";"scoremodular.c # 38";"scoremodular.c # 157";"5";"0";"scoremodular.c # 38";"scoremodular.c # 143"
"38";"'old1'";"scoremodular.c # 41";"scoremodular.c # 158";"5";"0";"scoremodular.c # 41";"scoremodular.c # 58"
"39";"'old2'";"scoremodular.c # 44";"scoremodular.c # 159";"5";"0";"scoremodular.c # 44";"scoremodular.c # 102"
"40";"'new1'";"scoremodular.c # 46";"scoremodular.c # 160";"5";"0";"scoremodular.c # 46";"scoremodular.c # 61"
"41";"'new2'";"scoremodular.c # 48";"scoremodular.c # 161";"5";"0";"scoremodular.c # 48";"scoremodular.c # 105"
"42";"'toll1'";"scoremodular.c # 52";"scoremodular.c # 162";"5";"0";"scoremodular.c # 52";"scoremodular.c # 52"
"43";"'toll2'";"scoremodular.c # 56";"scoremodular.c # 163";"5";"0";"scoremodular.c # 56";"scoremodular.c # 56"
"44";"'a'";"scoremodular.c # 58";"scoremodular.c # 164";"5";"0";"scoremodular.c # 58";"scoremodular.c # 108"
"45";"'b'";"scoremodular.c # 61";"scoremodular.c # 165";"5";"0";"scoremodular.c # 61";"scoremodular.c # 108"
"47";"'m'";"scoremodular.c # 109";"scoremodular.c # 167";"5";"0";"scoremodular.c # 109";"scoremodular.c # 109"
"46";"'S1'";"scoremodular.c # 98";"scoremodular.c # 168";"5";"0";"scoremodular.c # 99";"scoremodular.c # 147"
"48";"'S2'";"scoremodular.c # 139";"scoremodular.c # 169";"5";"0";"scoremodular.c # 140";"scoremodular.c # 147"
"35";"'scalare_d'";"scoremodular.c # 29";"scoremodular.c # 152";"1";"0";" # 0";" # 0"
"49";"'tmp_d1'";"scoremodular.c # 124";"scoremodular.c # 155";"5";"0";"scoremodular.c # 124";"scoremodular.c # 128"
"36";"'T1'";"scoremodular.c # 35";"scoremodular.c # 156";"5";"0";"scoremodular.c # 35";"scoremodular.c # 64"
"37";"'T2'";"scoremodular.c # 38";"scoremodular.c # 157";"5";"0";"scoremodular.c # 38";"scoremodular.c # 143"
"38";"'old1'";"scoremodular.c # 41";"scoremodular.c # 158";"5";"0";"scoremodular.c # 41";"scoremodular.c # 58"
"39";"'old2'";"scoremodular.c # 44";"scoremodular.c # 159";"5";"0";"scoremodular.c # 44";"scoremodular.c # 102"
"40";"'new1'";"scoremodular.c # 46";"scoremodular.c # 160";"5";"0";"scoremodular.c # 46";"scoremodular.c # 61"
"41";"'new2'";"scoremodular.c # 48";"scoremodular.c # 161";"5";"0";"scoremodular.c # 48";"scoremodular.c # 105"
"42";"'toll1'";"scoremodular.c # 52";"scoremodular.c # 162";"5";"0";"scoremodular.c # 52";"scoremodular.c # 52"
"43";"'toll2'";"scoremodular.c # 56";"scoremodular.c # 163";"5";"0";"scoremodular.c # 56";"scoremodular.c # 127"
"44";"'a'";"scoremodular.c # 58";"scoremodular.c # 164";"5";"0";"scoremodular.c # 58";"scoremodular.c # 124"
"45";"'b'";"scoremodular.c # 61";"scoremodular.c # 165";"5";"0";"scoremodular.c # 61";"scoremodular.c # 127"
"47";"'m'";"scoremodular.c # 109";"scoremodular.c # 167";"5";"0";"scoremodular.c # 109";"scoremodular.c # 122"
"46";"'S1'";"scoremodular.c # 98";"scoremodular.c # 168";"5";"0";"scoremodular.c # 99";"scoremodular.c # 147"
"48";"'S2'";"scoremodular.c # 122";"scoremodular.c # 169";"5";"0";"scoremodular.c # 122";"scoremodular.c # 147"
"35";"'scalare_d'";"scoremodular.c # 29";"scoremodular.c # 152";"1";"0";" # 0";" # 0"
"36";"'T1'";"scoremodular.c # 35";"scoremodular.c # 156";"5";"0";"scoremodular.c # 35";"scoremodular.c # 64"
"37";"'T2'";"scoremodular.c # 38";"scoremodular.c # 157";"5";"0";"scoremodular.c # 38";"scoremodular.c # 143"
"38";"'old1'";"scoremodular.c # 41";"scoremodular.c # 158";"5";"0";"scoremodular.c # 41";"scoremodular.c # 58"
"39";"'old2'";"scoremodular.c # 44";"scoremodular.c # 159";"5";"0";"scoremodular.c # 44";"scoremodular.c # 102"
"40";"'new1'";"scoremodular.c # 46";"scoremodular.c # 160";"5";"0";"scoremodular.c # 46";"scoremodular.c # 61"
"41";"'new2'";"scoremodular.c # 48";"scoremodular.c # 161";"5";"0";"scoremodular.c # 48";"scoremodular.c # 105"
"42";"'toll1'";"scoremodular.c # 52";"scoremodular.c # 162";"5";"0";"scoremodular.c # 52";"scoremodular.c # 52"
"43";"'toll2'";"scoremodular.c # 56";"scoremodular.c # 163";"5";"0";"scoremodular.c # 56";"scoremodular.c # 56"
"44";"'a'";"scoremodular.c # 58";"scoremodular.c # 164";"5";"0";"scoremodular.c # 58";"scoremodular.c # 108"
"45";"'b'";"scoremodular.c # 61";"scoremodular.c # 165";"5";"0";"scoremodular.c # 61";"scoremodular.c # 108"
"47";"'m'";"scoremodular.c # 109";"scoremodular.c # 167";"5";"0";"scoremodular.c # 109";"scoremodular.c # 109"
"46";"'S1'";"scoremodular.c # 98";"scoremodular.c # 168";"5";"0";"scoremodular.c # 99";"scoremodular.c # 147"
"48";"'S2'";"scoremodular.c # 139";"scoremodular.c # 169";"5";"0";"scoremodular.c # 140";"scoremodular.c # 147"
"47";"'ris'";"scoremodular.c # 147";"probmod.c # 265";"5";"0";"scoremodular.c # 147";"probmod.c # 159"
"48";"'ris'";"scoremodular.c # 147";"probmod.c # 266";"5";"0";"scoremodular.c # 147";"probmod.c # 159"
"31";"'scalare_d'";"probmod.c # 38";"probmod.c # 269";"1";"0";" # 0";" # 0"
"33";"'tmp_d1'";"probmod.c # 107";"probmod.c # 288";"5";"0";"probmod.c # 107";"probmod.c # 160"
"31";"'tmp3_d'";"triangola.c # 23";"triangola.c # 141";"1";"0";"distrib.c # 17";"triangola.c # 44"
"32";"'scalare_d'";"scoremodular.c # 29";"scoremodular.c # 152";"1";"0";" # 0";" # 0"
"46";"'tmp_d1'";"scoremodular.c # 124";"scoremodular.c # 155";"5";"0";"scoremodular.c # 124";"scoremodular.c # 128"
"33";"'T1'";"scoremodular.c # 35";"scoremodular.c # 156";"5";"0";"scoremodular.c # 35";"scoremodular.c # 64"
"34";"'T2'";"scoremodular.c # 38";"scoremodular.c # 157";"5";"0";"scoremodular.c # 38";"scoremodular.c # 143"
"35";"'old1'";"scoremodular.c # 41";"scoremodular.c # 158";"5";"0";"scoremodular.c # 41";"scoremodular.c # 58"
"36";"'old2'";"scoremodular.c # 44";"scoremodular.c # 159";"5";"0";"scoremodular.c # 44";"scoremodular.c # 102"
"37";"'new1'";"scoremodular.c # 46";"scoremodular.c # 160";"5";"0";"scoremodular.c # 46";"scoremodular.c # 61"
